"","Year","Total Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","County","O3 Mean","O3 AQI","CO Mean","CO AQI","SO2 Mean","SO2 AQI","NO2 Mean","NO2 AQI"
"1","2013",60827.2777777778,2315.44444444444,51220.2777777778,7080.16666666667,57.7222222222222,"King",0.0169315405405405,23.0540540540541,0.179954918918919,2.48648648648649,1.07941643243243,3.72972972972973,11.6114197567568,23.7567567567568
"2","2014",71391.8888888889,2918.38888888889,61072.5,7224.72222222222,84.0555555555556,"King",0.032363619047619,35.9523809523809,0.210317428571429,2.52380952380952,0.276367761904762,0.571428571428571,8.86268676190476,20.3809523809524
"3","2015",293849.2,1550.15,285172.05,6801.95,181.9,"King",0.0231628313253012,27.7349397590361,0.204643560240964,2.66867469879518,0.833926656626506,1.85542168674699,9.7038308373494,21.0843373493976
"4","2016",307510.4,1368.5,298947.55,6944.6,175.65,"King",0.0219599438596491,26.6421052631579,0.212417161403509,2.88070175438596,0.614500035087719,0.989473684210526,11.3981448280702,23.4315789473684
"5","2017",355962.842105263,1411.78947368421,347190.210526316,7164.15789473684,196.789473684211,"King",0.0213327577319588,24.9948453608247,0.22960956185567,3.14432989690722,0.251248067010309,0.618556701030928,11.1275222731959,21.2319587628866
"6","2018",361356.111111111,1514.33333333333,352300.611111111,7337.83333333333,203.611111111111,"King",0.021452987987988,25.6696696696697,0.213455075075075,2.87387387387387,0.648223807807808,1.03903903903904,10.5267873483483,20.9099099099099
"7","2019",367290.944444444,1437,358040.833333333,7602.61111111111,210.388888888889,"King",0.020940223880597,24.9880597014925,0.219926713432836,2.97313432835821,0.744911182089552,1.13432835820896,10.6616552119403,21.0597014925373
"8","2020",374388.705882353,1310.05882352941,361257.823529412,11602.6470588235,218.352941176471,"King",0.0229910853242321,26.7815699658703,0.234272863481229,3.07167235494881,0.716968464163823,0.767918088737201,9.08904703071672,18.4948805460751
"9","2021",398349.470588235,1164.41176470588,378649.588235294,18309.1764705882,226.294117647059,"King",0.0236587212643678,27.7844827586207,0.189994212643678,2.57471264367816,0.259628959770115,0.318965517241379,9.28227220689655,19.3706896551724
